Stock,Post_Market_Close,URL
TSLA,"Market Price $ Open: 160.31
Regular Market $ Close: 160.61
Daily % Change: (+0.19%)
Daily $ Change: +0.30
Post Market $ Close: 161.79
After Hours % Change: (+0.73%)
After Hours $ Change: +1.18",https://finance.yahoo.com/quote/TSLA/
MSFT,"Market Price $ Open: 305.40999999999997
Regular Market $ Close: 304.40
Daily % Change: (-0.33%)
Daily $ Change: -1.01
Post Market $ Close: 305.00
After Hours % Change: (+0.20%)
After Hours $ Change: +0.60",https://finance.yahoo.com/quote/MSFT/
AAPL,"Market Price $ Open: 168.54
Regular Market $ Close: 167.45
Daily % Change: (-0.65%)
Daily $ Change: -1.09
Post Market $ Close: 165.60
After Hours % Change: (-1.10%)
After Hours $ Change: -1.85",https://finance.yahoo.com/quote/AAPL/
