Stock,Post_Market_Close,URL
NET,"Market Price $ Open: 42.88
Regular Market $ Close: 41.90
Daily % Change: (-2.29%)
Daily $ Change: -0.98
Post Market $ Close: 41.40
After Hours % Change: (-1.19%)
After Hours $ Change: -0.50",https://finance.yahoo.com/quote/NET/
SNOW,"Market Price $ Open: 144.84
Regular Market $ Close: 144.64
Daily % Change: (-0.14%)
Daily $ Change: -0.20
Post Market $ Close: 144.30
After Hours % Change: (-0.24%)
After Hours $ Change: -0.34",https://finance.yahoo.com/quote/SNOW/
DOCN,"Market Price $ Open: 30.93
Regular Market $ Close: 31.33
Daily % Change: (+1.29%)
Daily $ Change: +0.40
Post Market $ Close: 31.62
After Hours % Change: (+0.93%)
After Hours $ Change: +0.29",https://finance.yahoo.com/quote/DOCN/
